"word","present","len","vowels","consonants","nonletters"
"nonprocedurally",1,15,5,10,0
"countermen",1,10,4,6,0
"cuttleman",0,9,3,6,0
"subsidiarinesses",1,16,7,9,0
"carotaterlo",0,11,5,6,0
"oreretepilerecotls",0,18,8,10,0
"pointmen",1,8,3,5,0
"phosphorolysis",1,14,4,10,0
"luehrman",0,8,3,5,0
"kalimba",1,7,3,4,0
"excurvated",1,10,4,6,0
"astally",0,7,2,5,0
"medinalidias",0,12,6,6,0
"kerittall",0,9,3,6,0
"dolomites",1,9,4,5,0
"piaropus",1,8,4,4,0
"monticuli",0,9,4,5,0
"dephitivers",0,11,4,7,0
"simonal",0,7,3,4,0
"dynaming",0,8,2,6,0
"paraengineery",0,13,6,7,0
"migmatite",1,9,4,5,0
"sunrisings",1,10,3,7,0
"provenient",1,10,4,6,0
"exophthalmos",1,12,4,8,0
"tpeizlcgtch'lcqr",0,16,2,14,1
"bilgeways",0,9,3,6,0
"vsnwcqpcbam",0,11,1,10,0
"archimorphic",1,12,4,8,0
"stephensburg",1,12,3,9,0
"ashvillidesrooteronsucted",0,25,10,15,0
"omnifacimentedness",0,18,7,11,0
"scarchbism",0,10,2,8,0
"bee",1,3,2,1,0
"jyyjcxzyehf",0,11,1,10,0
"cardione",0,8,4,4,0
"papaio",1,6,4,2,0
"cheluviation",0,12,6,6,0
"synarding",0,9,2,7,0
"dichoantiphophopal",0,18,7,11,0
"baldie",1,6,3,3,0
"salwauw",0,7,3,4,0
"arminian",1,8,4,4,0
"echewshoraise",0,13,6,7,0
"myroxylon",1,9,2,7,0
"kuqkrkvrnpwjtqawalplychak",0,25,4,21,0
"ureterveny",0,10,4,6,0
"solidarity",1,10,4,6,0
"recollectivistically",0,20,7,13,0
"appressorium",1,12,5,7,0
"fowloumon",0,9,4,5,0
"skylarkings",1,11,2,9,0
"bie",0,3,2,1,0
"beprisatters",0,12,4,8,0
"misappendance",0,13,5,8,0
"esifeert",0,8,4,4,0
"conpakeling",0,11,4,7,0
"nonmaturity",1,11,4,7,0
"palatoscopic",0,12,5,7,0
"pluvialis",1,9,4,5,0
"slighty",1,7,1,6,0
"thermoperies",0,12,5,7,0
"bowpin",1,6,2,4,0
"poirvz",0,6,2,4,0
"cubas",1,5,2,3,0
"ke",0,2,1,1,0
"gaslizzatat",0,11,4,7,0
"mahoonalectarson",0,16,7,9,0
"sceputs",0,7,2,5,0
"physicianer",1,11,4,7,0
"parthenogenous",1,14,6,8,0
"backlandstuffe",0,14,4,10,0
"pgalgnfrgksnzikdivfreoacq",0,25,6,19,0
"remedite",0,8,4,4,0
"ddrexxiort",0,10,3,7,0
"automatidae",0,11,7,4,0
"costen",1,6,2,4,0
"ardthailolthamericha",0,20,8,12,0
"subocuration",0,12,6,6,0
"semisubmersible",1,15,6,9,0
"plainchant",1,10,3,7,0
"shmo",1,4,1,3,0
"aterberly",0,9,3,6,0
"dipa",0,4,2,2,0
"femorange",0,9,4,5,0
"monovalency",1,11,4,7,0
"algregalse",0,10,4,6,0
"henrigidae",0,10,5,5,0
"hashum",1,6,2,4,0
"traipsings",1,10,3,7,0
"ignishes",0,8,3,5,0
"lkmyfhfyijnpkcenn",0,17,2,15,0
"graeus",0,6,3,3,0
"quiescing",1,9,4,5,0
"snippy",1,6,1,5,0
"philosophicalness",1,17,6,11,0
"refractometry",1,13,4,9,0
"dromaeognathism",1,15,6,9,0
"botvilers",0,9,3,6,0
"nonfieldambooka",0,15,7,8,0
"jeta",1,4,2,2,0
"ugrwbleuprnzkeyrlsc",0,19,4,15,0
"micotylomustbranctive",0,21,7,14,0
"flyfish",1,7,1,6,0
"winesops",1,8,3,5,0
"bankits",1,7,2,5,0
"dareece",1,7,4,3,0
"ve",0,2,1,1,0
"pseudotachometry",0,16,6,10,0
"tritenesian",0,11,5,6,0
"otheliast",0,9,4,5,0
"nonresidential",1,14,6,8,0
"pvdgiluhfkrngu'fgzjey'oly",0,25,5,20,2
"gleda",1,5,2,3,0
"nutritides",0,10,4,6,0
"vxuvnphwwuttiantetn'",0,20,5,15,1
"downhaussuckie",0,14,6,8,0
"colcelley",0,9,3,6,0
"bioninqualve",0,12,6,6,0
"amnia",1,5,3,2,0
"cortfassufulplutic",0,18,6,12,0
"xenophilias",1,11,5,6,0
"tatin",1,5,2,3,0
"omu'ocifhzzyc",0,13,4,9,1
"colligatoriness",0,15,6,9,0
"raipuriagakinsud",0,16,8,8,0
"arrayan",1,7,3,4,0
"chanths",0,7,1,6,0
"bouncers",1,8,3,5,0
"zermatt",1,7,2,5,0
"amale",0,5,3,2,0
"effrjxagzn",0,10,2,8,0
"harpp",1,5,1,4,0
"ecumene",1,7,4,3,0
"hirobumi",1,8,4,4,0
"preightilionate",0,15,7,8,0
"leukaemogenes",0,13,7,6,0
"hdqnajolsv'qtugiyxfbf",0,21,4,17,1
"paneidency",0,10,4,6,0
"nzvbhvmy'fucecnqxrfzhry",0,23,2,21,1
"moonally",0,8,3,5,0
"intermelt",1,9,3,6,0
"snicationism",0,12,5,7,0
"bomengenetrainillively",0,22,9,13,0
"serrancy",0,8,2,6,0
"wawina",1,6,3,3,0
"muezzin",1,7,3,4,0
"myelencephala",1,13,5,8,0
"copharternadationcaeart",0,23,10,13,0
"cabiria",1,7,4,3,0
"noney",0,5,2,3,0
"zasgzgchadwrs",0,13,2,11,0
"corinthianism",1,13,5,8,0
"unpersuasible",1,13,6,7,0
"tralirmaders",0,12,4,8,0
"fishgig",1,7,2,5,0
"vivaletuding",0,12,5,7,0
"soundheartedness",1,16,6,10,0
"succesive",1,9,4,5,0
"contempestivity",0,15,5,10,0
"marybeller",0,10,3,7,0
"pripet",1,6,2,4,0
"exrupeal",1,8,4,4,0
"xeuzjlufinf'rfhnl'plijtwf",0,25,5,20,2
"discanting",1,10,3,7,0
"movableness",1,11,4,7,0
"epigraphyll",0,11,3,8,0
"suabejows",0,9,4,5,0
"anaccounderiestation",0,20,10,10,0
"zaptiah",1,7,3,4,0
"mab",1,3,1,2,0
"noncurative",1,11,5,6,0
"merychippus",1,11,3,8,0
"oys",1,3,1,2,0
"adorns",1,6,2,4,0
"jepmnbqr'dsk",0,12,1,11,1
"hegira",1,6,3,3,0
"flambeed",1,8,3,5,0
"undergeneral",1,12,5,7,0
"savonburg",1,9,3,6,0
"compositella",0,12,5,7,0
"soligioid",0,9,5,4,0
"thigmotropisms",1,14,4,10,0
"represellschaft",0,15,4,11,0
"tatripatione",0,12,6,6,0
"dbxjq'auybposeebkhgzftt",0,23,5,18,1
"bakersfield",1,11,4,7,0
"trustification",1,14,6,8,0
"polepsialsisssinglioces",0,23,9,14,0
"delphina",1,8,3,5,0
"ererbeerepokeragearus",0,21,11,10,0
"bacardiographic",0,15,6,9,0
"canophobia",1,10,5,5,0
"ensigns",1,7,2,5,0
"lecideaceous",1,12,7,5,0
"rippa",0,5,2,3,0
"opisthotonus",1,12,5,7,0
"praehallux",1,10,4,6,0
"fawkes",1,6,2,4,0
"upele",0,5,3,2,0
"misknowledges",1,13,4,9,0
"quemado",1,7,4,3,0
"stila",1,5,2,3,0
"intrarachide",0,12,5,7,0
"homoiousianisms",1,15,8,7,0
"herenesses",1,10,4,6,0
"neesed",1,6,3,3,0
"binjiepholllocrobunchendes",0,26,9,17,0
"bbtsvkfuwupu",0,12,3,9,0
"counterscientific",1,17,7,10,0
"overmasterfully",1,15,5,10,0
"intralingual",1,12,5,7,0
"lous",0,4,2,2,0
"fossilise",1,9,4,5,0
"premolars",1,9,3,6,0
"agronomist",1,10,4,6,0
"pernas",1,6,2,4,0
"uncompulsorinesses",0,18,7,11,0
"ove",0,3,2,1,0
"repulp",1,6,2,4,0
"saddlestiffnesses",0,17,5,12,0
"wastable",1,8,3,5,0
"unremlesminge",0,13,5,8,0
"missouri",1,8,4,4,0
"rozokhopoune",0,12,6,6,0
"lbdib",0,5,1,4,0
"methylsilant",0,12,3,9,0
"ouphs",1,5,2,3,0
"nonadoptable",1,12,5,7,0
"hu'l'bbxxpii",0,12,3,9,2
"sprotista",0,9,3,6,0
"foins",0,5,2,3,0
"giessemecdurbid",0,15,6,9,0
"abstentious",1,11,5,6,0
"lonelinesses",1,12,5,7,0
"fodznloapfkocqdqjpwq",0,20,4,16,0
"coyndgiphfh",0,11,2,9,0
"devestreamer",0,12,5,7,0
"sanctual",0,8,3,5,0
"vgzcrbbbm",0,9,0,9,0
"recompendious",0,13,6,7,0
"geals",1,5,2,3,0
"ficula",1,6,3,3,0
"gcilwehyuyhr''d",0,15,3,12,2
"checkweigher",1,12,4,8,0
"osubass",0,7,3,4,0
"dimethylnitrosified",0,19,7,12,0
"cholecystectasia",1,16,6,10,0
"faux",1,4,2,2,0
"telfers",0,7,2,5,0
"dowmake",0,7,3,4,0
"redical",0,7,3,4,0
"conglobuling",0,12,4,8,0
"lunatene",0,8,4,4,0
"durning",1,7,2,5,0
"tilney",1,6,2,4,0
"autoregulative",1,14,8,6,0
"variolator",1,10,5,5,0
"colter",1,6,2,4,0
"clupea",1,6,3,3,0
"closplinterlocking",0,18,5,13,0
"chieftainry",1,11,4,7,0
"unastounded",1,11,5,6,0
"thinghood",1,9,3,6,0
"ichthyodorylinae",0,16,6,10,0
"ventriloquism",1,13,5,8,0
"schmooze",1,8,3,5,0
"conventual",1,10,4,6,0
"renormalaprotectiveness",0,23,9,14,0
"barbiest",0,8,3,5,0
"apetalous",1,9,5,4,0
"honkytonks",1,10,2,8,0
"habletdom",0,9,3,6,0
"superclub",1,9,3,6,0
"talmudistical",1,13,5,8,0
"coness",0,6,2,4,0
"polyprotodontinae",0,17,7,10,0
"bakalei",1,7,4,3,0
"flowerlet",1,9,3,6,0
"dhoti",1,5,2,3,0
"esllius",0,7,3,4,0
"tawney",1,6,2,4,0
"chapstick",1,9,2,7,0
"pommard",1,7,2,5,0
"hoodies",1,7,4,3,0
"trask",1,5,1,4,0
"dutchwoman",1,10,3,7,0
"adipocerite",1,11,6,5,0
"protutorial",0,11,5,6,0
"ffless",0,6,1,5,0
"ancilla",1,7,3,4,0
"euskallonsburg",0,14,5,9,0
"fegrade",0,7,3,4,0
"nashoma",1,7,3,4,0
"simpregular",0,11,4,7,0
"postconsonantal",1,15,5,10,0
"naboberies",1,10,5,5,0
"nonethically",1,12,4,8,0
"coccygeal",1,9,3,6,0
"auran",0,5,3,2,0
"encarpus",1,8,3,5,0
"peucjswzvsnbnnjtnwv",0,19,2,17,0
"gujral",1,6,2,4,0
"fedykvyeajn",0,11,3,8,0
"unprecenturaenie",0,16,8,8,0
"writely",0,7,2,5,0
"ctenoy",0,6,2,4,0
"galetriggenmul",0,14,5,9,0
"lectrifying",0,11,3,8,0
"recalling",1,9,3,6,0
"trysail",1,7,2,5,0
"mimalntrenolvomistogerus",0,24,9,15,0
"nondifferentiable",1,17,7,10,0
"varicosity",1,10,4,6,0
"orthodox",1,8,3,5,0
"stronal",0,7,2,5,0
"sistency",1,8,2,6,0
"gettysburg",1,10,2,8,0
"spicebushes",1,11,4,7,0
"reviviscence",1,12,5,7,0
"vineyarder",1,10,4,6,0
"trobupropore",0,12,5,7,0
"inacceptableness",0,16,6,10,0
"nike",1,4,2,2,0
"cashablenesses",0,14,5,9,0
"hent",1,4,1,3,0
"augury",1,6,3,3,0
"overprisation",0,13,6,7,0
"groass",0,6,2,4,0
"dee",1,3,2,1,0
"antinaturally",1,13,5,8,0
"vinsneuryloephiks",0,17,6,11,0
"unkhablectillagofie",0,19,8,11,0
"chronograph",1,11,3,8,0
"backspacer",1,10,3,7,0
"cartetosis",0,10,4,6,0
"pseudomonadales",0,15,7,8,0
"mergees",1,7,3,4,0
"midwesterner",1,12,4,8,0
"lydidae",0,7,3,4,0
"flagraris",0,9,3,6,0
"pharmacopoeias",1,14,7,7,0
"interdevour",1,11,5,6,0
"jiglike",1,7,3,4,0
"ptfy",0,4,0,4,0
"noordbrabant",1,12,4,8,0
"hastraiser",0,10,4,6,0
"moonwasperoords",0,15,6,9,0
"isoetales",1,9,5,4,0
"misanthropically",1,16,5,11,0
"grmirusllinevebist",0,18,6,12,0
"unpoetical",1,10,5,5,0
"katsuwonidae",1,12,6,6,0
"lolium",1,6,3,3,0
"caefop",0,6,3,3,0
"reprimandingly",1,14,4,10,0
"yousuf",1,6,3,3,0
"dermen",0,6,2,4,0
"pawl",1,4,1,3,0
"trygve",1,6,1,5,0
"libvzicixbwdzizbp'xb",0,20,4,16,1
"spline",1,6,2,4,0
"todotaur",0,8,4,4,0
"normothermia",1,12,5,7,0
"'isxvokciq",0,10,3,7,1
"scareful",1,8,3,5,0
"anacareousness",0,14,7,7,0
"teleidophianism",0,15,7,8,0
"gnoseme",0,7,3,4,0
"kantappotaea",0,12,6,6,0
"mhn",0,3,0,3,0
"strepitantly",1,12,3,9,0
"tracheopharyngeal",1,17,6,11,0
"bethemiabatino",0,14,7,7,0
"descedaliancertia",0,17,8,9,0
"disrespecial",0,12,5,7,0
"shrie",0,5,2,3,0
"parsechatelet",0,13,5,8,0
"prurigos",1,8,3,5,0
"sprc",0,4,0,4,0
"digger",1,6,2,4,0
"neumayer",1,8,4,4,0
"maricolous",1,10,5,5,0
"vocondomest",0,11,4,7,0
"uralubbetemisqusthun",0,20,8,12,0
"pouldred",1,8,3,5,0
"etwite",1,6,3,3,0
"connemarielsonville",0,19,8,11,0
"dewilliny",0,9,3,6,0
"physiography",1,12,3,9,0
"ocellation",1,10,5,5,0
"spect",1,5,1,4,0
"gancensivitograph",0,17,6,11,0
"hriontas",0,8,3,5,0
"copurified",1,10,5,5,0
"dfrer",1,5,1,4,0
"kalasky",1,7,2,5,0
"skintia",0,7,3,4,0
"psychoneuroimmunologist",1,23,9,14,0
"a'oghiqaoggdtjkloxarezk'",0,24,8,16,2
"gretta",1,6,2,4,0
"semuncia",1,8,4,4,0
"slumberousness",1,14,5,9,0
"farthingles",0,11,3,8,0
"bizare",0,6,3,3,0
"infibulate",1,10,5,5,0
"scheock",0,7,2,5,0
"sahosporphonelli",0,16,6,10,0
"rampliste",0,9,3,6,0
"flancicuigacang",0,15,6,9,0
"harneen",1,7,3,4,0
"lemniscal",1,9,3,6,0
"semia",0,5,3,2,0
"villegiately",0,12,5,7,0
"ctansunghalcterangitheris",0,25,8,17,0
"colophon",1,8,3,5,0
"dawk",1,4,1,3,0
"scarlatti",1,9,3,6,0
"mauvais",0,7,4,3,0
"mfzhyqvednyo",0,12,2,10,0
"uoopuls",0,7,4,3,0
"aplysiidae",0,10,5,5,0
"ronope",0,6,3,3,0
"workship",1,8,2,6,0
"lightbulb",1,9,2,7,0
"missal",1,6,2,4,0
"jugsful",1,7,2,5,0
"medicamentally",1,14,5,9,0
"cararchium",0,10,4,6,0
"stous",0,5,2,3,0
"camorrista",1,10,4,6,0
"sanativeness",1,12,5,7,0
"jacone",0,6,3,3,0
"amen",1,4,2,2,0
"tailoress",1,9,4,5,0
"microbusses",1,11,4,7,0
"cataphrygianism",1,15,5,10,0
"scammonyroot",1,12,4,8,0
"unmemorably",1,11,4,7,0
"gqs'gkphmw'he'",0,14,1,13,3
"fnno'vazbqh",0,11,2,9,1
"atyzispelee",0,11,5,6,0
"hilts",1,5,1,4,0
"unamenableness",0,14,6,8,0
"discouragement",1,14,6,8,0
"uncreativeness",1,14,6,8,0
"defeminised",1,11,5,6,0
"jqvhhikjse'jxgbu",0,16,3,13,1
"wrxc",0,4,0,4,0
"cambrian",1,8,3,5,0
"impresser",1,9,3,6,0
"preassumed",1,10,4,6,0
"jiceite",0,7,4,3,0
"retic",0,5,2,3,0
"nasethmoid",1,10,4,6,0
"tracrateartarsly",0,16,5,11,0
"gracilariidae",1,13,7,6,0
"vacanthi",0,8,3,5,0
"natterers",1,9,3,6,0
"layerages",1,9,4,5,0
"palabrium",0,9,4,5,0
"strophote",0,9,3,6,0
"shnaps",1,6,1,5,0
"proteus",1,7,3,4,0
"esurient",1,8,4,4,0
"zoons",1,5,2,3,0
"cladio",0,6,3,3,0
"slimsiest",1,9,3,6,0
"ascophyllum",1,11,3,8,0
"meyerbeek",0,9,4,5,0
"displanolism",0,12,4,8,0
"psignics",0,8,2,6,0
"ngalitetysn",0,11,3,8,0
"eparterial",1,10,5,5,0
"divinyl",1,7,2,5,0
"hypocathexis",1,12,4,8,0
"jabbllaveatroniczlatam",0,22,8,14,0
"ecoute",1,6,4,2,0
"phurmmrhydarebimseluin",0,22,7,15,0
"nbakhoxeouqwem",0,14,6,8,0
"spectroheliogram",1,16,6,10,0
"unexcerptions",0,13,5,8,0
"misrepublico",0,12,5,7,0
"darreterium",0,11,5,6,0
"pdjxpyefgc",0,10,1,9,0
"ckesetrior",0,10,4,6,0
"seducer",1,7,3,4,0
"diorita",0,7,4,3,0
"fantasia",1,8,4,4,0
"devian",0,6,3,3,0
"dislinks",1,8,2,6,0
"cantled",1,7,2,5,0
"soot",1,4,2,2,0
"lowery",1,6,2,4,0
"fortifications",1,14,6,8,0
"incodes",0,7,3,4,0
"punicaceae",1,10,6,4,0
"boardings",1,9,3,6,0
"wickens",1,7,2,5,0
"epationatoriservisomitttness",0,28,12,16,0
"tornus",1,6,2,4,0
"delts",1,5,1,4,0
"sinctness",0,9,2,7,0
"aernichtirhoponti",0,17,7,10,0
"confusable",1,10,4,6,0
"bitudgeadolincelvals",0,20,8,12,0
"blackfigured",1,12,4,8,0
"priori",1,6,3,3,0
"literatophyte",0,13,5,8,0
"atura",0,5,3,2,0
"septicide",0,9,4,5,0
"waysvillotrevic",0,15,5,10,0
"roundhead",1,9,4,5,0
"blueball",1,8,3,5,0
"ciondagaured",0,12,6,6,0
"allayed",1,7,3,4,0
"taved",0,5,2,3,0
"panchomerish",0,12,4,8,0
"pou",0,3,2,1,0
"cajvt",0,5,1,4,0
"footdraggers",1,12,4,8,0
"abwebbis",0,8,3,5,0
"girdler",1,7,2,5,0
"probabilism",1,11,4,7,0
"sternonuchal",1,12,4,8,0
"chapeaus",1,8,4,4,0
"equiped",1,7,4,3,0
"jilgie",1,6,3,3,0
"phonaebigulopipang",0,18,8,10,0
"termagantish",1,12,4,8,0
"poked",1,5,2,3,0
"pondville",1,9,3,6,0
"cettola",0,7,3,4,0
"wearhy",0,6,2,4,0
"superabnormally",1,15,5,10,0
"phograp",0,7,2,5,0
"gatecrasher",1,11,4,7,0
"clywd",1,5,0,5,0
"lungis",1,6,2,4,0
"agemiaseticras",0,14,7,7,0
"etheful",0,7,3,4,0
"wampus",1,6,2,4,0
"marchical",0,9,3,6,0
"heysham",1,7,2,5,0
"improbities",1,11,5,6,0
"predom",0,6,2,4,0
"siler",1,5,2,3,0
"cpm",1,3,0,3,0
"unimpelled",1,10,4,6,0
"supersexualisation",0,18,9,9,0
"anticalliclinate",0,16,7,9,0
"degering",0,8,3,5,0
"necrotic",1,8,3,5,0
"misprovident",0,12,4,8,0
"catowhililvignattupatics",0,24,9,15,0
"wedgie",1,6,3,3,0
"latoid",0,6,3,3,0
"yommorkstaximoncrophis",0,22,7,15,0
"rounce",1,6,3,3,0
"trenchies",0,9,3,6,0
"pinonbernciation",0,16,7,9,0
"hanaparm",0,8,3,5,0
"detaerfelpoyspic",0,16,6,10,0
"unlette",0,7,3,4,0
"endometer",0,9,4,5,0
"uptrail",1,7,3,4,0
"coenures",1,8,4,4,0
"tagalo",1,6,3,3,0
"nonpurulent",1,11,4,7,0
"fantoddishness",0,14,4,10,0
"elasmobranchian",1,15,6,9,0
"shijiazhuang",1,12,5,7,0
"lareoidewabiddley're",0,20,9,11,1
"alang",1,5,2,3,0
"morphias",1,8,3,5,0
"rationalisable",1,14,7,7,0
"retina",1,6,3,3,0
"conneedness",0,11,4,7,0
"shoa",1,4,2,2,0
"dispassionate",1,13,6,7,0
"chargeship",1,10,3,7,0
"antonionally",0,12,5,7,0
"helminized",0,10,4,6,0
"mphanchtexemizichvifrndlardy",0,28,7,21,0
"bespecklement",1,13,4,9,0
"noncorresponds",0,14,4,10,0
"jammy",1,5,1,4,0
"ces",0,3,1,2,0
"auctary",0,7,3,4,0
"propylene",1,9,3,6,0
"frett",0,5,1,4,0
"gunpoint",1,8,3,5,0
"reinsertion",1,11,5,6,0
"american",1,8,4,4,0
"chisellings",1,11,3,8,0
"wynmjslqentpoxoejkmn",0,20,4,16,0
"stanislaw",1,9,3,6,0
"nxljetijkjybgmfy",0,16,2,14,0
"profanator",0,10,4,6,0
"drummies",0,8,3,5,0
"diniochawenas",0,13,6,7,0
"helsingkite",1,11,4,7,0
"pacolet",1,7,3,4,0
"iyrenetidest",0,12,5,7,0
"arthel",1,6,2,4,0
"nonsburth",0,9,2,7,0
"coproduct",1,9,3,6,0
"impracticipial",0,14,6,8,0
"becrush",1,7,2,5,0
"wriggling",1,9,2,7,0
"snowscape",1,9,3,6,0
"bipropellant",1,12,4,8,0
"mcrusin",0,7,2,5,0
"tithebook",1,9,4,5,0
"gellinesis",0,10,4,6,0
"cumbency",0,8,2,6,0
"anabaptist",1,10,4,6,0
"flaments",0,8,2,6,0
"quickerlitzier",0,14,6,8,0
"polychlorines",0,13,4,9,0
"stationman",1,10,4,6,0
"hyperoxidation",1,14,6,8,0
"obdckwzvs",0,9,1,8,0
"alkenhayn",0,9,3,6,0
"stirrers",1,8,2,6,0
"unodoriferously",1,15,7,8,0
"sebuikellingelisteole",0,21,10,11,0
"conchalynous",0,12,4,8,0
"feathlegenata",0,13,6,7,0
"gerbilloaing",0,12,5,7,0
"champshears",0,11,3,8,0
"perfervent",1,10,3,7,0
"cortadels",0,9,3,6,0
"quittederitposingt",0,18,7,11,0
"pine",1,4,2,2,0
"dunsermergraph",0,14,4,10,0
"cidoyriesmeos",0,13,6,7,0
"m'cymmqsrlzocmdqmkasj",0,21,2,19,1
"abulescence",0,11,5,6,0
"overmastering",1,13,5,8,0
"maeander",1,8,4,4,0
"ravioli",1,7,4,3,0
"yglysmnggueikfmvsmz'jcjfy'nk",0,28,3,25,2
"nacreins",0,8,3,5,0
"palmilobed",1,10,4,6,0
"tinervitiali",0,12,6,6,0
"overful",0,7,3,4,0
"boreace",0,7,4,3,0
"aphasmidia",1,10,5,5,0
"botchiation",0,11,5,6,0
"affrontee",1,9,4,5,0
"unwich",0,6,2,4,0
"biegnetisationally",0,18,8,10,0
"unrecognizing",0,13,5,8,0
"womeras",1,7,3,4,0
"hifidakerolan",0,13,6,7,0
"orefies",0,7,4,3,0
"xerostomia",1,10,5,5,0
"apostatises",1,11,5,6,0
"ethelicised",0,11,5,6,0
"ezskacmkveul",0,12,4,8,0
"lonesomes",1,9,4,5,0
"irrees",0,6,3,3,0
"bloodier",1,8,4,4,0
"exsiccator",1,10,4,6,0
"bromoacetaldehyde",0,17,7,10,0
"tollable",1,8,3,5,0
"julienite",0,9,5,4,0
"tipays",0,6,2,4,0
"dingdong",1,8,2,6,0
"pomology",1,8,3,5,0
"physalospora",1,12,4,8,0
"macrocin",0,8,3,5,0
"barolong",1,8,3,5,0
"chaircutto",0,10,4,6,0
"uture",0,5,3,2,0
"supraline",0,9,4,5,0
"scisotte",0,8,3,5,0
"qbom",0,4,1,3,0
"jadda",1,5,2,3,0
"octodecillionaire",0,17,9,8,0
"unpumicated",1,11,5,6,0
"pardo",1,5,2,3,0
"causeway",1,8,4,4,0
"snapshootied",0,12,5,7,0
"camisade",1,8,4,4,0
"unanatomical",0,12,6,6,0
"zqrrcicsyweatbui",0,16,5,11,0
"chokecoilabian",0,14,7,7,0
"neurygan",0,8,3,5,0
"haydlar",0,7,2,5,0
"seemliest",1,9,4,5,0
"hickwalls",1,9,2,7,0
"mydicoecta",0,10,4,6,0
"biliterelptionn",0,15,6,9,0
"noncontentious",1,14,6,8,0
"cornets",1,7,2,5,0
"palaeologist",0,12,6,6,0
"madisterium",1,11,5,6,0
"iswara",1,6,3,3,0
"plagiochusett",0,13,5,8,0
"loyd",1,4,1,3,0
"suboscigenic",0,12,5,7,0
"xoxbyjdycyumzctu",0,16,3,13,0
"temmoku",1,7,3,4,0
"gracelike",1,9,4,5,0
"phenothiazine",1,13,6,7,0
"magmulanjus",0,11,4,7,0
"bedulatopa",0,10,5,5,0
"rophytenexylarigh",0,17,5,12,0
"tachyphasias",1,12,4,8,0
"burgilinges",0,11,4,7,0
"poles",1,5,2,3,0
"loging",0,6,2,4,0
"marleight",0,9,3,6,0
"lugansk",1,7,2,5,0
"ambience",1,8,4,4,0
"availmen",0,8,4,4,0
"repeddling",1,10,3,7,0
"'vkbwsxmxosfmv",0,14,1,13,1
"whiskylin",0,9,2,7,0
"kura",1,4,2,2,0
"troped",1,6,2,4,0
"naphthalmouthe",0,14,5,9,0
"clairsden",0,9,3,6,0
"fhwcz'ucqetief",0,14,4,10,1
"nonnegligibly",1,13,4,9,0
"anablephamative",0,15,7,8,0
"khoumaini",1,9,5,4,0
"specialest",1,10,4,6,0
"atinles",0,7,3,4,0
"unanograsthose",0,14,6,8,0
"romancical",1,10,4,6,0
"abstain",1,7,3,4,0
"sacrilated",0,10,4,6,0
"blentralimpurs",0,14,4,10,0
"blatherskite",1,12,4,8,0
"dinative",0,8,4,4,0
"hypsometer",1,10,3,7,0
"overofficemax",0,13,6,7,0
"ticklely",1,8,2,6,0
"pate",1,4,2,2,0
"blackhanders",1,12,3,9,0
"crawdaddy",1,9,2,7,0
"declarant",1,9,3,6,0
"foreses",0,7,3,4,0
"invalette",0,9,4,5,0
"repolishednesses",0,16,6,10,0
"misapperclate",0,13,5,8,0
"manitoba",1,8,4,4,0
"paroemiologists",0,15,7,8,0
"overhaus",0,8,4,4,0
"cemen",0,5,2,3,0
"preunite",1,8,4,4,0
"mogravarylogic",0,14,5,9,0
"nankingese",1,10,4,6,0
"embern",0,6,2,4,0
"overregulatress",0,15,6,9,0
"urbanities",1,10,5,5,0
"xwylbublxzknkq",0,14,1,13,0
"ambomalant",0,10,4,6,0
"isosporides",0,11,5,6,0
"gectrothes",0,10,3,7,0
"wahabite",1,8,4,4,0
"adoptant",1,8,3,5,0
"punchromators",0,13,4,9,0
"noncolloid",1,10,4,6,0
"acclaimin",0,9,4,5,0
"monotrematous",1,13,6,7,0
"certa",0,5,2,3,0
"alvlmxvhrsesfqwoglmfxkcdz",0,25,3,22,0
"bblaphrircino",0,13,4,9,0
"glockened",0,9,3,6,0
"entrenchymotic",0,14,4,10,0
"veal",1,4,2,2,0
"girafano",1,8,4,4,0
"nymwegen",1,8,2,6,0
"chacma",1,6,2,4,0
"balantom",0,8,3,5,0
"accurpans",0,9,3,6,0
"chalaza",1,7,3,4,0
"interrogatives",1,14,6,8,0
"reddish",1,7,2,5,0
"aerobraked",1,10,5,5,0
"siophis",0,7,3,4,0
"ascrive",1,7,3,4,0
"icel",1,4,2,2,0
"rumal",1,5,2,3,0
"ejgbguulaevgomg",0,15,6,9,0
"slsbvfzpdat",0,11,1,10,0
"pseudopods",1,10,4,6,0
"clanton",1,7,2,5,0
"harveyizing",1,11,4,7,0
"recreator",1,9,4,5,0
"noncircumferentiate",0,19,8,11,0
"gecko",1,5,2,3,0
"hyetoonsolding",0,14,5,9,0
"pigeons",1,7,3,4,0
"rigling",1,7,2,5,0
"sestette",1,8,3,5,0
"deforesters",1,11,4,7,0
"ratification",1,12,6,6,0
"dously",0,6,2,4,0
"mussmannia",0,10,4,6,0
"scamphimacusis",0,14,5,9,0
"macrosynther",0,12,3,9,0
"roping",1,6,2,4,0
"umbreres",1,8,3,5,0
"twileloulylok",0,13,5,8,0
"hzlhmbmpghwoo'px'acfm",0,21,3,18,2
"brillianting",1,12,4,8,0
"pistermes",0,9,3,6,0
"twitched",1,8,2,6,0
"alunile",0,7,4,3,0
"mwykbov",0,7,1,6,0
"elders",1,6,2,4,0
"ecugmfa",0,7,3,4,0
"goniopholis",1,11,5,6,0
