word,present,len,vowels,consonants,nonletters,vtc
nonresidential,1,14,6,8,0,0.75
pvdgiluhfkrngu'fgzjey'oly,0,25,5,20,2,0.25
gleda,1,5,2,3,0,0.666666666666667
nutritides,0,10,4,6,0,0.666666666666667
vxuvnphwwuttiantetn',0,20,5,15,1,0.333333333333333
downhaussuckie,0,14,6,8,0,0.75
colcelley,0,9,3,6,0,0.5
bioninqualve,0,12,6,6,0,1
amnia,1,5,3,2,0,1.5
cortfassufulplutic,0,18,6,12,0,0.5
xenophilias,1,11,5,6,0,0.833333333333333
tatin,1,5,2,3,0,0.666666666666667
omu'ocifhzzyc,0,13,4,9,1,0.444444444444444
colligatoriness,0,15,6,9,0,0.666666666666667
raipuriagakinsud,0,16,8,8,0,1
arrayan,1,7,3,4,0,0.75
chanths,0,7,1,6,0,0.166666666666667
bouncers,1,8,3,5,0,0.6
zermatt,1,7,2,5,0,0.4
amale,0,5,3,2,0,1.5
effrjxagzn,0,10,2,8,0,0.25
harpp,1,5,1,4,0,0.25
ecumene,1,7,4,3,0,1.33333333333333
hirobumi,1,8,4,4,0,1
preightilionate,0,15,7,8,0,0.875
leukaemogenes,0,13,7,6,0,1.16666666666667
hdqnajolsv'qtugiyxfbf,0,21,4,17,1,0.235294117647059
paneidency,0,10,4,6,0,0.666666666666667
nzvbhvmy'fucecnqxrfzhry,0,23,2,21,1,0.0952380952380952
moonally,0,8,3,5,0,0.6
intermelt,1,9,3,6,0,0.5
snicationism,0,12,5,7,0,0.714285714285714
bomengenetrainillively,0,22,9,13,0,0.692307692307692
serrancy,0,8,2,6,0,0.333333333333333
wawina,1,6,3,3,0,1
muezzin,1,7,3,4,0,0.75
myelencephala,1,13,5,8,0,0.625
copharternadationcaeart,0,23,10,13,0,0.769230769230769
cabiria,1,7,4,3,0,1.33333333333333
noney,0,5,2,3,0,0.666666666666667
zasgzgchadwrs,0,13,2,11,0,0.181818181818182
corinthianism,1,13,5,8,0,0.625
unpersuasible,1,13,6,7,0,0.857142857142857
tralirmaders,0,12,4,8,0,0.5
fishgig,1,7,2,5,0,0.4
vivaletuding,0,12,5,7,0,0.714285714285714
soundheartedness,1,16,6,10,0,0.6
succesive,1,9,4,5,0,0.8
contempestivity,0,15,5,10,0,0.5
marybeller,0,10,3,7,0,0.428571428571429
pripet,1,6,2,4,0,0.5
exrupeal,1,8,4,4,0,1
xeuzjlufinf'rfhnl'plijtwf,0,25,5,20,2,0.25
discanting,1,10,3,7,0,0.428571428571429
movableness,1,11,4,7,0,0.571428571428571
epigraphyll,0,11,3,8,0,0.375
suabejows,0,9,4,5,0,0.8
anaccounderiestation,0,20,10,10,0,1
zaptiah,1,7,3,4,0,0.75
mab,1,3,1,2,0,0.5
noncurative,1,11,5,6,0,0.833333333333333
merychippus,1,11,3,8,0,0.375
oys,1,3,1,2,0,0.5
adorns,1,6,2,4,0,0.5
jepmnbqr'dsk,0,12,1,11,1,0.0909090909090909
hegira,1,6,3,3,0,1
flambeed,1,8,3,5,0,0.6
undergeneral,1,12,5,7,0,0.714285714285714
savonburg,1,9,3,6,0,0.5
compositella,0,12,5,7,0,0.714285714285714
soligioid,0,9,5,4,0,1.25
thigmotropisms,1,14,4,10,0,0.4
represellschaft,0,15,4,11,0,0.363636363636364
tatripatione,0,12,6,6,0,1
dbxjq'auybposeebkhgzftt,0,23,5,18,1,0.277777777777778
bakersfield,1,11,4,7,0,0.571428571428571
trustification,1,14,6,8,0,0.75
polepsialsisssinglioces,0,23,9,14,0,0.642857142857143
delphina,1,8,3,5,0,0.6
ererbeerepokeragearus,0,21,11,10,0,1.1
bacardiographic,0,15,6,9,0,0.666666666666667
canophobia,1,10,5,5,0,1
ensigns,1,7,2,5,0,0.4
lecideaceous,1,12,7,5,0,1.4
rippa,0,5,2,3,0,0.666666666666667
opisthotonus,1,12,5,7,0,0.714285714285714
praehallux,1,10,4,6,0,0.666666666666667
fawkes,1,6,2,4,0,0.5
upele,0,5,3,2,0,1.5
misknowledges,1,13,4,9,0,0.444444444444444
quemado,1,7,4,3,0,1.33333333333333
stila,1,5,2,3,0,0.666666666666667
intrarachide,0,12,5,7,0,0.714285714285714
homoiousianisms,1,15,8,7,0,1.14285714285714
herenesses,1,10,4,6,0,0.666666666666667
neesed,1,6,3,3,0,1
binjiepholllocrobunchendes,0,26,9,17,0,0.529411764705882
bbtsvkfuwupu,0,12,3,9,0,0.333333333333333
counterscientific,1,17,7,10,0,0.7
overmasterfully,1,15,5,10,0,0.5
intralingual,1,12,5,7,0,0.714285714285714
lous,0,4,2,2,0,1
fossilise,1,9,4,5,0,0.8
premolars,1,9,3,6,0,0.5
agronomist,1,10,4,6,0,0.666666666666667
pernas,1,6,2,4,0,0.5
uncompulsorinesses,0,18,7,11,0,0.636363636363636
ove,0,3,2,1,0,2
repulp,1,6,2,4,0,0.5
saddlestiffnesses,0,17,5,12,0,0.416666666666667
wastable,1,8,3,5,0,0.6
unremlesminge,0,13,5,8,0,0.625
missouri,1,8,4,4,0,1
rozokhopoune,0,12,6,6,0,1
lbdib,0,5,1,4,0,0.25
methylsilant,0,12,3,9,0,0.333333333333333
ouphs,1,5,2,3,0,0.666666666666667
nonadoptable,1,12,5,7,0,0.714285714285714
hu'l'bbxxpii,0,12,3,9,2,0.333333333333333
sprotista,0,9,3,6,0,0.5
foins,0,5,2,3,0,0.666666666666667
giessemecdurbid,0,15,6,9,0,0.666666666666667
abstentious,1,11,5,6,0,0.833333333333333
lonelinesses,1,12,5,7,0,0.714285714285714
fodznloapfkocqdqjpwq,0,20,4,16,0,0.25
coyndgiphfh,0,11,2,9,0,0.222222222222222
devestreamer,0,12,5,7,0,0.714285714285714
sanctual,0,8,3,5,0,0.6
vgzcrbbbm,0,9,0,9,0,0
recompendious,0,13,6,7,0,0.857142857142857
geals,1,5,2,3,0,0.666666666666667
ficula,1,6,3,3,0,1
gcilwehyuyhr''d,0,15,3,12,2,0.25
checkweigher,1,12,4,8,0,0.5
osubass,0,7,3,4,0,0.75
dimethylnitrosified,0,19,7,12,0,0.583333333333333
cholecystectasia,1,16,6,10,0,0.6
faux,1,4,2,2,0,1
telfers,0,7,2,5,0,0.4
dowmake,0,7,3,4,0,0.75
redical,0,7,3,4,0,0.75
conglobuling,0,12,4,8,0,0.5
lunatene,0,8,4,4,0,1
durning,1,7,2,5,0,0.4
tilney,1,6,2,4,0,0.5
autoregulative,1,14,8,6,0,1.33333333333333
variolator,1,10,5,5,0,1
colter,1,6,2,4,0,0.5
clupea,1,6,3,3,0,1
closplinterlocking,0,18,5,13,0,0.384615384615385
chieftainry,1,11,4,7,0,0.571428571428571
unastounded,1,11,5,6,0,0.833333333333333
thinghood,1,9,3,6,0,0.5
ichthyodorylinae,0,16,6,10,0,0.6
ventriloquism,1,13,5,8,0,0.625
schmooze,1,8,3,5,0,0.6
conventual,1,10,4,6,0,0.666666666666667
renormalaprotectiveness,0,23,9,14,0,0.642857142857143
barbiest,0,8,3,5,0,0.6
apetalous,1,9,5,4,0,1.25
honkytonks,1,10,2,8,0,0.25
habletdom,0,9,3,6,0,0.5
superclub,1,9,3,6,0,0.5
talmudistical,1,13,5,8,0,0.625
coness,0,6,2,4,0,0.5
polyprotodontinae,0,17,7,10,0,0.7
bakalei,1,7,4,3,0,1.33333333333333
flowerlet,1,9,3,6,0,0.5
dhoti,1,5,2,3,0,0.666666666666667
esllius,0,7,3,4,0,0.75
tawney,1,6,2,4,0,0.5
chapstick,1,9,2,7,0,0.285714285714286
pommard,1,7,2,5,0,0.4
hoodies,1,7,4,3,0,1.33333333333333
trask,1,5,1,4,0,0.25
dutchwoman,1,10,3,7,0,0.428571428571429
adipocerite,1,11,6,5,0,1.2
protutorial,0,11,5,6,0,0.833333333333333
ffless,0,6,1,5,0,0.2
ancilla,1,7,3,4,0,0.75
euskallonsburg,0,14,5,9,0,0.555555555555556
fegrade,0,7,3,4,0,0.75
nashoma,1,7,3,4,0,0.75
simpregular,0,11,4,7,0,0.571428571428571
postconsonantal,1,15,5,10,0,0.5
naboberies,1,10,5,5,0,1
nonethically,1,12,4,8,0,0.5
coccygeal,1,9,3,6,0,0.5
auran,0,5,3,2,0,1.5
encarpus,1,8,3,5,0,0.6
peucjswzvsnbnnjtnwv,0,19,2,17,0,0.117647058823529
gujral,1,6,2,4,0,0.5
fedykvyeajn,0,11,3,8,0,0.375
unprecenturaenie,0,16,8,8,0,1
writely,0,7,2,5,0,0.4
ctenoy,0,6,2,4,0,0.5
galetriggenmul,0,14,5,9,0,0.555555555555556
lectrifying,0,11,3,8,0,0.375
recalling,1,9,3,6,0,0.5
trysail,1,7,2,5,0,0.4
mimalntrenolvomistogerus,0,24,9,15,0,0.6
nondifferentiable,1,17,7,10,0,0.7
varicosity,1,10,4,6,0,0.666666666666667
orthodox,1,8,3,5,0,0.6
stronal,0,7,2,5,0,0.4
sistency,1,8,2,6,0,0.333333333333333
gettysburg,1,10,2,8,0,0.25
spicebushes,1,11,4,7,0,0.571428571428571
reviviscence,1,12,5,7,0,0.714285714285714
vineyarder,1,10,4,6,0,0.666666666666667
trobupropore,0,12,5,7,0,0.714285714285714
inacceptableness,0,16,6,10,0,0.6
nike,1,4,2,2,0,1
cashablenesses,0,14,5,9,0,0.555555555555556
hent,1,4,1,3,0,0.333333333333333
augury,1,6,3,3,0,1
overprisation,0,13,6,7,0,0.857142857142857
groass,0,6,2,4,0,0.5
dee,1,3,2,1,0,2
antinaturally,1,13,5,8,0,0.625
vinsneuryloephiks,0,17,6,11,0,0.545454545454545
unkhablectillagofie,0,19,8,11,0,0.727272727272727
chronograph,1,11,3,8,0,0.375
backspacer,1,10,3,7,0,0.428571428571429
cartetosis,0,10,4,6,0,0.666666666666667
pseudomonadales,0,15,7,8,0,0.875
mergees,1,7,3,4,0,0.75
midwesterner,1,12,4,8,0,0.5
lydidae,0,7,3,4,0,0.75
flagraris,0,9,3,6,0,0.5
pharmacopoeias,1,14,7,7,0,1
interdevour,1,11,5,6,0,0.833333333333333
jiglike,1,7,3,4,0,0.75
ptfy,0,4,0,4,0,0
noordbrabant,1,12,4,8,0,0.5
hastraiser,0,10,4,6,0,0.666666666666667
moonwasperoords,0,15,6,9,0,0.666666666666667
isoetales,1,9,5,4,0,1.25
misanthropically,1,16,5,11,0,0.454545454545455
grmirusllinevebist,0,18,6,12,0,0.5
unpoetical,1,10,5,5,0,1
katsuwonidae,1,12,6,6,0,1
lolium,1,6,3,3,0,1
caefop,0,6,3,3,0,1
reprimandingly,1,14,4,10,0,0.4
yousuf,1,6,3,3,0,1
dermen,0,6,2,4,0,0.5
pawl,1,4,1,3,0,0.333333333333333
trygve,1,6,1,5,0,0.2
libvzicixbwdzizbp'xb,0,20,4,16,1,0.25
spline,1,6,2,4,0,0.5
todotaur,0,8,4,4,0,1
normothermia,1,12,5,7,0,0.714285714285714
'isxvokciq,0,10,3,7,1,0.428571428571429
scareful,1,8,3,5,0,0.6
anacareousness,0,14,7,7,0,1
teleidophianism,0,15,7,8,0,0.875
gnoseme,0,7,3,4,0,0.75
kantappotaea,0,12,6,6,0,1
mhn,0,3,0,3,0,0
strepitantly,1,12,3,9,0,0.333333333333333
tracheopharyngeal,1,17,6,11,0,0.545454545454545
bethemiabatino,0,14,7,7,0,1
descedaliancertia,0,17,8,9,0,0.888888888888889
disrespecial,0,12,5,7,0,0.714285714285714
shrie,0,5,2,3,0,0.666666666666667
parsechatelet,0,13,5,8,0,0.625
prurigos,1,8,3,5,0,0.6
sprc,0,4,0,4,0,0
digger,1,6,2,4,0,0.5
neumayer,1,8,4,4,0,1
maricolous,1,10,5,5,0,1
vocondomest,0,11,4,7,0,0.571428571428571
uralubbetemisqusthun,0,20,8,12,0,0.666666666666667
pouldred,1,8,3,5,0,0.6
etwite,1,6,3,3,0,1
connemarielsonville,0,19,8,11,0,0.727272727272727
dewilliny,0,9,3,6,0,0.5
physiography,1,12,3,9,0,0.333333333333333
ocellation,1,10,5,5,0,1
spect,1,5,1,4,0,0.25
gancensivitograph,0,17,6,11,0,0.545454545454545
hriontas,0,8,3,5,0,0.6
copurified,1,10,5,5,0,1
dfrer,1,5,1,4,0,0.25
kalasky,1,7,2,5,0,0.4
skintia,0,7,3,4,0,0.75
psychoneuroimmunologist,1,23,9,14,0,0.642857142857143
a'oghiqaoggdtjkloxarezk',0,24,8,16,2,0.5
gretta,1,6,2,4,0,0.5
semuncia,1,8,4,4,0,1
slumberousness,1,14,5,9,0,0.555555555555556
farthingles,0,11,3,8,0,0.375
bizare,0,6,3,3,0,1
infibulate,1,10,5,5,0,1
scheock,0,7,2,5,0,0.4
sahosporphonelli,0,16,6,10,0,0.6
rampliste,0,9,3,6,0,0.5
flancicuigacang,0,15,6,9,0,0.666666666666667
harneen,1,7,3,4,0,0.75
lemniscal,1,9,3,6,0,0.5
semia,0,5,3,2,0,1.5
villegiately,0,12,5,7,0,0.714285714285714
ctansunghalcterangitheris,0,25,8,17,0,0.470588235294118
colophon,1,8,3,5,0,0.6
dawk,1,4,1,3,0,0.333333333333333
scarlatti,1,9,3,6,0,0.5
mauvais,0,7,4,3,0,1.33333333333333
mfzhyqvednyo,0,12,2,10,0,0.2
uoopuls,0,7,4,3,0,1.33333333333333
aplysiidae,0,10,5,5,0,1
ronope,0,6,3,3,0,1
workship,1,8,2,6,0,0.333333333333333
lightbulb,1,9,2,7,0,0.285714285714286
missal,1,6,2,4,0,0.5
jugsful,1,7,2,5,0,0.4
medicamentally,1,14,5,9,0,0.555555555555556
cararchium,0,10,4,6,0,0.666666666666667
stous,0,5,2,3,0,0.666666666666667
camorrista,1,10,4,6,0,0.666666666666667
sanativeness,1,12,5,7,0,0.714285714285714
jacone,0,6,3,3,0,1
amen,1,4,2,2,0,1
tailoress,1,9,4,5,0,0.8
microbusses,1,11,4,7,0,0.571428571428571
cataphrygianism,1,15,5,10,0,0.5
scammonyroot,1,12,4,8,0,0.5
unmemorably,1,11,4,7,0,0.571428571428571
gqs'gkphmw'he',0,14,1,13,3,0.0769230769230769
fnno'vazbqh,0,11,2,9,1,0.222222222222222
atyzispelee,0,11,5,6,0,0.833333333333333
hilts,1,5,1,4,0,0.25
unamenableness,0,14,6,8,0,0.75
discouragement,1,14,6,8,0,0.75
uncreativeness,1,14,6,8,0,0.75
defeminised,1,11,5,6,0,0.833333333333333
jqvhhikjse'jxgbu,0,16,3,13,1,0.230769230769231
wrxc,0,4,0,4,0,0
cambrian,1,8,3,5,0,0.6
impresser,1,9,3,6,0,0.5
preassumed,1,10,4,6,0,0.666666666666667
jiceite,0,7,4,3,0,1.33333333333333
retic,0,5,2,3,0,0.666666666666667
nasethmoid,1,10,4,6,0,0.666666666666667
tracrateartarsly,0,16,5,11,0,0.454545454545455
gracilariidae,1,13,7,6,0,1.16666666666667
vacanthi,0,8,3,5,0,0.6
natterers,1,9,3,6,0,0.5
layerages,1,9,4,5,0,0.8
palabrium,0,9,4,5,0,0.8
strophote,0,9,3,6,0,0.5
shnaps,1,6,1,5,0,0.2
proteus,1,7,3,4,0,0.75
esurient,1,8,4,4,0,1
zoons,1,5,2,3,0,0.666666666666667
cladio,0,6,3,3,0,1
slimsiest,1,9,3,6,0,0.5
ascophyllum,1,11,3,8,0,0.375
meyerbeek,0,9,4,5,0,0.8
displanolism,0,12,4,8,0,0.5
psignics,0,8,2,6,0,0.333333333333333
ngalitetysn,0,11,3,8,0,0.375
eparterial,1,10,5,5,0,1
divinyl,1,7,2,5,0,0.4
hypocathexis,1,12,4,8,0,0.5
jabbllaveatroniczlatam,0,22,8,14,0,0.571428571428571
ecoute,1,6,4,2,0,2
phurmmrhydarebimseluin,0,22,7,15,0,0.466666666666667
nbakhoxeouqwem,0,14,6,8,0,0.75
spectroheliogram,1,16,6,10,0,0.6
unexcerptions,0,13,5,8,0,0.625
misrepublico,0,12,5,7,0,0.714285714285714
darreterium,0,11,5,6,0,0.833333333333333
pdjxpyefgc,0,10,1,9,0,0.111111111111111
ckesetrior,0,10,4,6,0,0.666666666666667
seducer,1,7,3,4,0,0.75
diorita,0,7,4,3,0,1.33333333333333
fantasia,1,8,4,4,0,1
devian,0,6,3,3,0,1
dislinks,1,8,2,6,0,0.333333333333333
cantled,1,7,2,5,0,0.4
soot,1,4,2,2,0,1
lowery,1,6,2,4,0,0.5
fortifications,1,14,6,8,0,0.75
incodes,0,7,3,4,0,0.75
punicaceae,1,10,6,4,0,1.5
boardings,1,9,3,6,0,0.5
wickens,1,7,2,5,0,0.4
epationatoriservisomitttness,0,28,12,16,0,0.75
tornus,1,6,2,4,0,0.5
delts,1,5,1,4,0,0.25
sinctness,0,9,2,7,0,0.285714285714286
aernichtirhoponti,0,17,7,10,0,0.7
confusable,1,10,4,6,0,0.666666666666667
bitudgeadolincelvals,0,20,8,12,0,0.666666666666667
blackfigured,1,12,4,8,0,0.5
priori,1,6,3,3,0,1
literatophyte,0,13,5,8,0,0.625
atura,0,5,3,2,0,1.5
septicide,0,9,4,5,0,0.8
waysvillotrevic,0,15,5,10,0,0.5
roundhead,1,9,4,5,0,0.8
blueball,1,8,3,5,0,0.6
ciondagaured,0,12,6,6,0,1
allayed,1,7,3,4,0,0.75
taved,0,5,2,3,0,0.666666666666667
panchomerish,0,12,4,8,0,0.5
pou,0,3,2,1,0,2
cajvt,0,5,1,4,0,0.25
footdraggers,1,12,4,8,0,0.5
abwebbis,0,8,3,5,0,0.6
girdler,1,7,2,5,0,0.4
probabilism,1,11,4,7,0,0.571428571428571
sternonuchal,1,12,4,8,0,0.5
chapeaus,1,8,4,4,0,1
equiped,1,7,4,3,0,1.33333333333333
jilgie,1,6,3,3,0,1
phonaebigulopipang,0,18,8,10,0,0.8
termagantish,1,12,4,8,0,0.5
poked,1,5,2,3,0,0.666666666666667
pondville,1,9,3,6,0,0.5
cettola,0,7,3,4,0,0.75
wearhy,0,6,2,4,0,0.5
superabnormally,1,15,5,10,0,0.5
phograp,0,7,2,5,0,0.4
gatecrasher,1,11,4,7,0,0.571428571428571
clywd,1,5,0,5,0,0
lungis,1,6,2,4,0,0.5
agemiaseticras,0,14,7,7,0,1
etheful,0,7,3,4,0,0.75
wampus,1,6,2,4,0,0.5
marchical,0,9,3,6,0,0.5
heysham,1,7,2,5,0,0.4
improbities,1,11,5,6,0,0.833333333333333
predom,0,6,2,4,0,0.5
siler,1,5,2,3,0,0.666666666666667
cpm,1,3,0,3,0,0
unimpelled,1,10,4,6,0,0.666666666666667
supersexualisation,0,18,9,9,0,1
anticalliclinate,0,16,7,9,0,0.777777777777778
degering,0,8,3,5,0,0.6
necrotic,1,8,3,5,0,0.6
misprovident,0,12,4,8,0,0.5
catowhililvignattupatics,0,24,9,15,0,0.6
wedgie,1,6,3,3,0,1
latoid,0,6,3,3,0,1
yommorkstaximoncrophis,0,22,7,15,0,0.466666666666667
rounce,1,6,3,3,0,1
trenchies,0,9,3,6,0,0.5
pinonbernciation,0,16,7,9,0,0.777777777777778
hanaparm,0,8,3,5,0,0.6
detaerfelpoyspic,0,16,6,10,0,0.6
unlette,0,7,3,4,0,0.75
endometer,0,9,4,5,0,0.8
uptrail,1,7,3,4,0,0.75
coenures,1,8,4,4,0,1
tagalo,1,6,3,3,0,1
nonpurulent,1,11,4,7,0,0.571428571428571
fantoddishness,0,14,4,10,0,0.4
elasmobranchian,1,15,6,9,0,0.666666666666667
shijiazhuang,1,12,5,7,0,0.714285714285714
lareoidewabiddley're,0,20,9,11,1,0.818181818181818
alang,1,5,2,3,0,0.666666666666667
morphias,1,8,3,5,0,0.6
rationalisable,1,14,7,7,0,1
retina,1,6,3,3,0,1
conneedness,0,11,4,7,0,0.571428571428571
shoa,1,4,2,2,0,1
dispassionate,1,13,6,7,0,0.857142857142857
chargeship,1,10,3,7,0,0.428571428571429
antonionally,0,12,5,7,0,0.714285714285714
helminized,0,10,4,6,0,0.666666666666667
mphanchtexemizichvifrndlardy,0,28,7,21,0,0.333333333333333
bespecklement,1,13,4,9,0,0.444444444444444
noncorresponds,0,14,4,10,0,0.4
jammy,1,5,1,4,0,0.25
ces,0,3,1,2,0,0.5
auctary,0,7,3,4,0,0.75
propylene,1,9,3,6,0,0.5
frett,0,5,1,4,0,0.25
gunpoint,1,8,3,5,0,0.6
reinsertion,1,11,5,6,0,0.833333333333333
american,1,8,4,4,0,1
chisellings,1,11,3,8,0,0.375
wynmjslqentpoxoejkmn,0,20,4,16,0,0.25
stanislaw,1,9,3,6,0,0.5
nxljetijkjybgmfy,0,16,2,14,0,0.142857142857143
profanator,0,10,4,6,0,0.666666666666667
drummies,0,8,3,5,0,0.6
diniochawenas,0,13,6,7,0,0.857142857142857
helsingkite,1,11,4,7,0,0.571428571428571
pacolet,1,7,3,4,0,0.75
iyrenetidest,0,12,5,7,0,0.714285714285714
arthel,1,6,2,4,0,0.5
nonsburth,0,9,2,7,0,0.285714285714286
coproduct,1,9,3,6,0,0.5
impracticipial,0,14,6,8,0,0.75
becrush,1,7,2,5,0,0.4
wriggling,1,9,2,7,0,0.285714285714286
snowscape,1,9,3,6,0,0.5
bipropellant,1,12,4,8,0,0.5
mcrusin,0,7,2,5,0,0.4
tithebook,1,9,4,5,0,0.8
gellinesis,0,10,4,6,0,0.666666666666667
cumbency,0,8,2,6,0,0.333333333333333
anabaptist,1,10,4,6,0,0.666666666666667
flaments,0,8,2,6,0,0.333333333333333
quickerlitzier,0,14,6,8,0,0.75
polychlorines,0,13,4,9,0,0.444444444444444
stationman,1,10,4,6,0,0.666666666666667
hyperoxidation,1,14,6,8,0,0.75
obdckwzvs,0,9,1,8,0,0.125
alkenhayn,0,9,3,6,0,0.5
stirrers,1,8,2,6,0,0.333333333333333
unodoriferously,1,15,7,8,0,0.875
sebuikellingelisteole,0,21,10,11,0,0.909090909090909
conchalynous,0,12,4,8,0,0.5
feathlegenata,0,13,6,7,0,0.857142857142857
gerbilloaing,0,12,5,7,0,0.714285714285714
champshears,0,11,3,8,0,0.375
perfervent,1,10,3,7,0,0.428571428571429
cortadels,0,9,3,6,0,0.5
quittederitposingt,0,18,7,11,0,0.636363636363636
pine,1,4,2,2,0,1
dunsermergraph,0,14,4,10,0,0.4
cidoyriesmeos,0,13,6,7,0,0.857142857142857
m'cymmqsrlzocmdqmkasj,0,21,2,19,1,0.105263157894737
abulescence,0,11,5,6,0,0.833333333333333
overmastering,1,13,5,8,0,0.625
maeander,1,8,4,4,0,1
ravioli,1,7,4,3,0,1.33333333333333
yglysmnggueikfmvsmz'jcjfy'nk,0,28,3,25,2,0.12
nacreins,0,8,3,5,0,0.6
palmilobed,1,10,4,6,0,0.666666666666667
tinervitiali,0,12,6,6,0,1
overful,0,7,3,4,0,0.75
boreace,0,7,4,3,0,1.33333333333333
aphasmidia,1,10,5,5,0,1
botchiation,0,11,5,6,0,0.833333333333333
affrontee,1,9,4,5,0,0.8
unwich,0,6,2,4,0,0.5
biegnetisationally,0,18,8,10,0,0.8
unrecognizing,0,13,5,8,0,0.625
womeras,1,7,3,4,0,0.75
hifidakerolan,0,13,6,7,0,0.857142857142857
orefies,0,7,4,3,0,1.33333333333333
xerostomia,1,10,5,5,0,1
apostatises,1,11,5,6,0,0.833333333333333
ethelicised,0,11,5,6,0,0.833333333333333
ezskacmkveul,0,12,4,8,0,0.5
lonesomes,1,9,4,5,0,0.8
irrees,0,6,3,3,0,1
bloodier,1,8,4,4,0,1
exsiccator,1,10,4,6,0,0.666666666666667
bromoacetaldehyde,0,17,7,10,0,0.7
tollable,1,8,3,5,0,0.6
julienite,0,9,5,4,0,1.25
tipays,0,6,2,4,0,0.5
dingdong,1,8,2,6,0,0.333333333333333
pomology,1,8,3,5,0,0.6
physalospora,1,12,4,8,0,0.5
macrocin,0,8,3,5,0,0.6
barolong,1,8,3,5,0,0.6
chaircutto,0,10,4,6,0,0.666666666666667
uture,0,5,3,2,0,1.5
supraline,0,9,4,5,0,0.8
scisotte,0,8,3,5,0,0.6
qbom,0,4,1,3,0,0.333333333333333
jadda,1,5,2,3,0,0.666666666666667
octodecillionaire,0,17,9,8,0,1.125
unpumicated,1,11,5,6,0,0.833333333333333
pardo,1,5,2,3,0,0.666666666666667
causeway,1,8,4,4,0,1
snapshootied,0,12,5,7,0,0.714285714285714
camisade,1,8,4,4,0,1
unanatomical,0,12,6,6,0,1
zqrrcicsyweatbui,0,16,5,11,0,0.454545454545455
chokecoilabian,0,14,7,7,0,1
neurygan,0,8,3,5,0,0.6
haydlar,0,7,2,5,0,0.4
seemliest,1,9,4,5,0,0.8
hickwalls,1,9,2,7,0,0.285714285714286
mydicoecta,0,10,4,6,0,0.666666666666667
biliterelptionn,0,15,6,9,0,0.666666666666667
noncontentious,1,14,6,8,0,0.75
cornets,1,7,2,5,0,0.4
palaeologist,0,12,6,6,0,1
madisterium,1,11,5,6,0,0.833333333333333
iswara,1,6,3,3,0,1
plagiochusett,0,13,5,8,0,0.625
loyd,1,4,1,3,0,0.333333333333333
suboscigenic,0,12,5,7,0,0.714285714285714
xoxbyjdycyumzctu,0,16,3,13,0,0.230769230769231
temmoku,1,7,3,4,0,0.75
gracelike,1,9,4,5,0,0.8
phenothiazine,1,13,6,7,0,0.857142857142857
magmulanjus,0,11,4,7,0,0.571428571428571
bedulatopa,0,10,5,5,0,1
rophytenexylarigh,0,17,5,12,0,0.416666666666667
tachyphasias,1,12,4,8,0,0.5
burgilinges,0,11,4,7,0,0.571428571428571
poles,1,5,2,3,0,0.666666666666667
loging,0,6,2,4,0,0.5
marleight,0,9,3,6,0,0.5
lugansk,1,7,2,5,0,0.4
ambience,1,8,4,4,0,1
availmen,0,8,4,4,0,1
repeddling,1,10,3,7,0,0.428571428571429
'vkbwsxmxosfmv,0,14,1,13,1,0.0769230769230769
whiskylin,0,9,2,7,0,0.285714285714286
kura,1,4,2,2,0,1
troped,1,6,2,4,0,0.5
naphthalmouthe,0,14,5,9,0,0.555555555555556
clairsden,0,9,3,6,0,0.5
fhwcz'ucqetief,0,14,4,10,1,0.4
nonnegligibly,1,13,4,9,0,0.444444444444444
anablephamative,0,15,7,8,0,0.875
khoumaini,1,9,5,4,0,1.25
specialest,1,10,4,6,0,0.666666666666667
atinles,0,7,3,4,0,0.75
unanograsthose,0,14,6,8,0,0.75
romancical,1,10,4,6,0,0.666666666666667
abstain,1,7,3,4,0,0.75
sacrilated,0,10,4,6,0,0.666666666666667
blentralimpurs,0,14,4,10,0,0.4
blatherskite,1,12,4,8,0,0.5
dinative,0,8,4,4,0,1
hypsometer,1,10,3,7,0,0.428571428571429
overofficemax,0,13,6,7,0,0.857142857142857
ticklely,1,8,2,6,0,0.333333333333333
pate,1,4,2,2,0,1
blackhanders,1,12,3,9,0,0.333333333333333
crawdaddy,1,9,2,7,0,0.285714285714286
declarant,1,9,3,6,0,0.5
foreses,0,7,3,4,0,0.75
invalette,0,9,4,5,0,0.8
repolishednesses,0,16,6,10,0,0.6
misapperclate,0,13,5,8,0,0.625
manitoba,1,8,4,4,0,1
paroemiologists,0,15,7,8,0,0.875
overhaus,0,8,4,4,0,1
cemen,0,5,2,3,0,0.666666666666667
preunite,1,8,4,4,0,1
mogravarylogic,0,14,5,9,0,0.555555555555556
nankingese,1,10,4,6,0,0.666666666666667
embern,0,6,2,4,0,0.5
overregulatress,0,15,6,9,0,0.666666666666667
urbanities,1,10,5,5,0,1
xwylbublxzknkq,0,14,1,13,0,0.0769230769230769
ambomalant,0,10,4,6,0,0.666666666666667
isosporides,0,11,5,6,0,0.833333333333333
gectrothes,0,10,3,7,0,0.428571428571429
wahabite,1,8,4,4,0,1
adoptant,1,8,3,5,0,0.6
punchromators,0,13,4,9,0,0.444444444444444
noncolloid,1,10,4,6,0,0.666666666666667
acclaimin,0,9,4,5,0,0.8
